Fecha,Andalucia,Aragon,Canarias,Cantabria,Castilla y Leon,Castilla-La Mancha,Cataluna,Ceuta,Melilla,Comunidad de Madrid,Comunidad Foral de Navarra,Comunitat Valenciana,Extremadura,Galicia,Illes Balears,La Rioja,Pais Vasco,Principado de Asturias,Region de Murcia,Espana
04/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/01/2021,533,0,327,0,124,0,167,29,0,476,0,152,0,150,155,0,0,202,0,2315
19/01/2021,1773,250,339,0,432,189,432,29,29,719,299,588,254,1191,164,44,390,1285,934,9341
20/01/2021,4568,623,339,0,633,195,913,29,29,812,503,1737,254,1197,167,44,390,1687,1522,15642
21/01/2021,15193,1731,1744,241,5296,1202,2598,326,203,1738,767,2956,638,3861,1514,267,1333,5664,1784,49056
22/01/2021,20846,2165,2865,241,6060,1593,4101,373,203,2263,807,4139,638,7204,2660,317,3044,6851,2086,68456
23/01/2021,20846,2165,2865,241,6060,1593,4101,373,203,2263,807,4139,638,7204,2660,317,3044,6851,2086,68456
24/01/2021,20846,2165,2865,241,6060,1593,4101,373,203,2263,807,4139,638,7204,2660,317,3044,6851,2086,68456
25/01/2021,25516,2222,3993,241,9593,2008,7472,373,203,2634,809,4532,638,8602,2713,317,3355,9030,4447,88698
26/01/2021,37978,2945,5149,300,13245,3623,9620,503,332,4073,1757,5393,1721,12042,2879,455,5159,10694,5829,123697
27/01/2021,50951,5860,6434,300,18756,6982,18426,503,414,5611,2541,7304,3134,14235,3114,684,6637,13727,7453,173066
28/01/2021,55004,6806,6864,782,19658,7628,23262,569,414,6987,2797,8948,3135,15827,3295,1084,6906,14080,8713,192759
29/01/2021,67511,9752,8772,924,25020,12486,35424,628,631,10595,3535,11317,4460,20268,4369,1592,9052,16266,9264,251866
30/01/2021,67511,9752,8772,924,25020,12486,35424,628,631,10595,3535,11317,4460,20268,4369,1592,9052,16266,9264,251866
31/01/2021,67511,9752,8772,924,25020,12486,35424,628,631,10595,3535,11317,4460,20268,4369,1592,9052,16266,9264,251866
01/02/2021,78640,10364,11501,2737,34446,17460,60676,688,806,15837,5281,33395,8646,27098,4782,2490,12277,19475,11293,357892
02/02/2021,90764,11119,14647,4261,35051,21360,69431,748,1040,24312,6320,44979,10776,29065,5026,3478,14059,19503,12580,418519
03/02/2021,104529,15157,17129,5861,40565,24525,80387,806,1062,35902,7148,58452,13202,31725,5262,4301,16621,22227,14117,498978
04/02/2021,117953,19535,20260,7122,45682,27691,91724,895,1067,49470,8008,67840,16996,37572,7929,5433,18773,25710,16462,586122
05/02/2021,131693,23488,24049,8806,56665,30345,107877,921,1073,67334,9016,75577,21662,37720,9922,6521,21112,28740,20388,682909
06/02/2021,131693,23488,24049,8806,56665,30345,107877,921,1073,67334,9016,75577,21662,37720,9922,6521,21112,28740,20388,682909
07/02/2021,131693,23488,24049,8806,56665,30345,107877,921,1073,67334,9016,75577,21662,37720,9922,6521,21112,28740,20388,682909
08/02/2021,143552,24380,28158,12427,62928,32129,120742,964,1071,86645,11439,83171,26605,51424,13430,7561,24002,31467,24312,786407
09/02/2021,151577,25222,29047,13470,64568,33207,129651,964,1080,102204,12509,87353,27390,54504,14072,7777,26299,31944,25944,838782
10/02/2021,159969,29343,29967,14393,69345,35531,138400,963,1080,115535,13286,89522,28790,54604,14564,7997,26299,32296,27799,889683
11/02/2021,168087,32986,29967,16259,72444,38191,146079,963,1082,128570,14003,90760,29776,55082,15576,8129,32897,32706,29721,943278
