;Andalucia;Aragon;Canarias;Cantabria;Castilla y Leon;Castilla-La Mancha;Cataluña;Ceuta;Melilla;Comunidad de Madrid;Comunidad Foral de Navarra;Comunitat Valenciana;Extremadura;Galicia;Illes Balears;La Rioja;Pai­s Vasco;Principado de Asturias;Region de Murcia;España
01/01/2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
02/01/2020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
03/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
04/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
05/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
06/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
07/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3
08/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3
09/01/2020;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;3
10/01/2020;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;5
11/01/2020;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1;0;0;0;6
12/01/2020;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;1;0;0;0;7
13/01/2020;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;1;0;0;0;9
14/01/2020;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;1;0;0;0;9
15/01/2020;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;1;0;0;0;10
16/01/2020;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;1;0;0;0;11
17/01/2020;0;0;0;0;0;0;2;0;0;9;0;0;0;0;0;1;0;0;0;12
18/01/2020;0;0;0;0;0;0;2;0;0;11;0;0;0;0;0;1;0;0;0;14
19/01/2020;0;0;0;0;0;0;2;0;0;11;0;0;0;0;0;1;0;0;0;14
20/01/2020;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;1;0;0;0;17
21/01/2020;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;1;0;0;0;17
22/01/2020;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;1;0;0;0;17
23/01/2020;0;0;0;0;0;0;2;0;0;16;0;0;0;0;0;1;0;0;0;19
24/01/2020;0;0;0;0;0;0;3;0;0;17;0;0;0;0;0;1;0;0;0;21
25/01/2020;0;0;0;0;0;0;3;0;0;18;0;0;0;0;0;1;0;0;0;22
26/01/2020;0;0;0;0;0;0;3;0;0;19;0;0;0;0;0;1;0;0;0;23
27/01/2020;0;0;0;0;0;0;3;0;0;20;0;0;0;0;0;1;0;0;0;24
28/01/2020;0;0;0;0;0;0;3;0;0;21;0;0;0;0;0;1;0;0;0;25
29/01/2020;0;0;1;0;0;0;3;0;0;23;0;0;0;0;1;1;0;0;0;29
30/01/2020;0;0;1;0;0;0;3;0;0;24;0;0;0;0;1;1;0;0;0;30
31/01/2020;0;0;1;0;0;0;3;0;0;27;0;0;0;0;1;1;0;0;0;33
01/02/2020;0;0;1;0;0;0;10;0;0;35;0;1;0;0;1;1;0;0;0;49
02/02/2020;1;0;1;0;0;0;12;0;0;41;0;1;0;1;1;1;0;0;0;59
03/02/2020;2;0;1;0;0;0;13;0;0;48;0;2;0;2;1;1;0;0;0;70
04/02/2020;2;0;2;0;1;0;18;0;0;50;0;2;0;2;1;1;0;0;0;79
05/02/2020;2;0;2;0;2;0;19;0;0;54;0;2;0;2;1;1;0;0;0;85
06/02/2020;4;0;2;0;2;0;19;0;0;59;0;4;0;2;1;1;0;0;0;94
07/02/2020;6;0;2;0;3;0;22;0;0;68;0;4;0;2;1;1;0;0;0;109
08/02/2020;6;0;2;0;3;0;22;0;0;76;0;4;1;2;1;1;0;0;0;118
09/02/2020;6;0;2;0;3;0;23;0;0;78;0;4;1;2;1;1;0;0;0;121
10/02/2020;7;0;2;0;4;0;27;0;0;89;1;5;1;2;3;1;0;0;0;142
11/02/2020;7;1;2;0;5;0;30;0;0;96;1;6;1;2;3;1;0;0;0;155
12/02/2020;8;1;3;0;7;0;36;0;0;106;1;7;1;2;3;1;2;0;0;178
13/02/2020;9;2;3;0;7;0;42;0;0;121;1;8;1;2;3;1;2;0;0;202
14/02/2020;10;2;4;0;8;0;43;0;0;131;1;10;2;2;4;1;2;0;0;220
15/02/2020;11;2;4;0;8;0;56;0;0;144;1;14;3;2;4;1;5;0;0;255
16/02/2020;11;3;6;0;8;0;58;0;0;157;1;15;3;3;4;1;6;0;0;276
17/02/2020;11;4;6;0;8;0;59;0;0;176;1;18;4;3;4;1;8;0;0;303
18/02/2020;14;5;7;0;9;0;64;0;0;190;1;19;4;4;4;1;8;0;0;330
19/02/2020;14;5;8;0;9;1;65;0;0;202;1;20;5;4;4;1;9;0;0;348
20/02/2020;18;5;9;0;10;1;79;0;0;227;1;23;5;7;5;1;10;0;0;401
21/02/2020;22;7;9;0;14;1;96;0;0;253;2;25;5;7;5;1;13;0;0;460
22/02/2020;24;10;9;0;16;1;108;0;0;282;3;27;5;9;5;1;17;0;1;518
23/02/2020;26;11;10;1;20;1;116;0;0;326;4;32;5;9;5;4;18;1;2;591
24/02/2020;31;11;10;1;24;2;128;0;0;382;7;46;5;10;5;6;25;1;3;697
25/02/2020;40;12;12;10;29;2;149;0;0;432;9;54;7;12;5;8;36;2;6;825
26/02/2020;49;14;18;10;36;2;176;0;0;499;11;62;7;15;5;11;47;2;7;971
27/02/2020;57;14;20;10;42;3;192;0;0;592;15;77;8;22;9;19;60;2;8;1150
28/02/2020;65;17;27;10;50;16;229;0;0;749;17;99;14;28;13;30;91;3;9;1467
29/02/2020;73;23;31;11;60;33;253;0;0;858;21;113;17;29;15;44;117;5;11;1714
01/03/2020;99;30;38;12;88;92;352;0;0;1177;29;151;21;35;19;67;166;7;16;2399
02/03/2020;131;43;49;12;126;153;446;0;0;1556;39;189;27;54;25;97;222;10;23;3202
