Fecha,Andalucia,Aragon,Canarias,Cantabria,Castilla y Leon,Castilla-La Mancha,Cataluna,Ceuta,Melilla,Comunidad de Madrid,Comunidad Foral de Navarra,Comunitat Valenciana,Extremadura,Galicia,Illes Balears,La Rioja,Pais Vasco,Principado de Asturias,Region de Murcia,Espana
01/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
04/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
08/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
11/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13/01/2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18/01/2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
19/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/01/2020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
21/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
24/01/2020,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
25/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
29/01/2020,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4
30/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31/01/2020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
01/02/2020,0,0,0,0,0,0,7,0,0,8,0,1,0,0,0,0,0,0,0,16
02/02/2020,1,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,0,10
03/02/2020,1,0,0,0,0,0,1,0,0,7,0,1,0,1,0,0,0,0,0,11
04/02/2020,0,0,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,9
05/02/2020,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,6
06/02/2020,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,9
07/02/2020,2,0,0,0,1,0,3,0,0,9,0,0,0,0,0,0,0,0,0,15
08/02/2020,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,9
09/02/2020,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
10/02/2020,1,0,0,0,1,0,4,0,0,11,1,1,0,0,2,0,0,0,0,21
11/02/2020,0,1,0,0,1,0,3,0,0,7,0,1,0,0,0,0,0,0,0,13
12/02/2020,1,0,1,0,2,0,6,0,0,10,0,1,0,0,0,0,2,0,0,23
13/02/2020,1,1,0,0,0,0,6,0,0,15,0,1,0,0,0,0,0,0,0,24
14/02/2020,1,0,1,0,1,0,1,0,0,10,0,2,1,0,1,0,0,0,0,18
