Fecha,Andalucia,Aragon,Canarias,Cantabria,Castilla y Leon,Castilla-La Mancha,Cataluna,Ceuta,Melilla,Comunidad de Madrid,Comunidad Foral de Navarra,Comunitat Valenciana,Extremadura,Galicia,Illes Balears,La Rioja,Pais Vasco,Principado de Asturias,Region de Murcia,Espana
01/01/2020,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,5
02/01/2020,0,0,0,0,0,0,54,0,0,4,0,3,0,0,0,0,3,0,0,64
03/01/2020,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,5
04/01/2020,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,6
05/01/2020,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,5
06/01/2020,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3
07/01/2020,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,6
08/01/2020,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,5
09/01/2020,0,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,8
10/01/2020,0,0,1,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,8
11/01/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12/01/2020,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,5
13/01/2020,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,7
14/01/2020,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,9
15/01/2020,0,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,9
16/01/2020,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5
17/01/2020,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
18/01/2020,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,5
19/01/2020,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,4
20/01/2020,0,0,1,0,0,0,4,0,0,1,1,1,0,0,0,0,0,1,0,9
21/01/2020,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,8
22/01/2020,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,6
23/01/2020,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,7
24/01/2020,0,0,0,0,0,0,6,0,0,4,1,1,0,1,0,0,0,0,0,13
25/01/2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26/01/2020,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
27/01/2020,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5
28/01/2020,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6
29/01/2020,0,0,1,0,1,0,10,0,0,2,0,0,0,0,0,0,0,0,0,14
30/01/2020,0,0,2,0,1,0,2,0,0,5,0,1,0,0,0,0,0,1,1,13
31/01/2020,0,0,0,0,0,0,6,0,0,3,1,3,0,0,0,0,0,0,1,14
01/02/2020,0,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,8
02/02/2020,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,14
03/02/2020,0,0,0,0,1,0,8,0,0,4,0,1,0,0,0,0,1,0,0,15
04/02/2020,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,1,0,0,11
05/02/2020,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,7
06/02/2020,0,1,0,0,1,0,7,0,0,5,1,0,0,1,0,0,1,0,0,17
07/02/2020,0,0,0,0,1,0,4,0,0,5,1,2,0,1,0,0,3,0,0,17
08/02/2020,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,6
09/02/2020,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,6
10/02/2020,0,1,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,1,0,14
11/02/2020,0,0,0,0,0,0,8,0,0,6,1,1,0,0,0,0,2,0,1,19
