Fecha,Andalucia,Aragon,Canarias,Cantabria,Castilla y Leon,Castilla-La Mancha,Cataluna,Ceuta,Melilla,Comunidad de Madrid,Comunidad Foral de Navarra,Comunitat Valenciana,Extremadura,Galicia,Illes Balears,La Rioja,Pais Vasco,Principado de Asturias,Region de Murcia,Espana
04/01/2021,25809,2004,4846,304,10928,1983,8150,380,207,2883,1583,3252,686,9124,153,324,396,9380,442,82834
05/01/2021,40263,2985,5857,601,16430,4092,11191,517,341,5335,2651,8586,1806,12012,2656,585,5553,12929,4949,139339
06/01/2021,40263,2985,5857,601,16430,4092,11191,517,341,5335,2651,8586,1806,12012,2656,585,5553,12929,4949,139339
07/01/2021,53934,6186,7330,1564,22103,7666,24515,576,426,11337,2960,11677,3309,20265,3190,858,7734,14406,7287,207323
08/01/2021,69445,9944,9572,2334,28325,12380,38826,637,673,14152,3703,15965,4727,24750,4257,1674,9811,17843,8958,277976
09/01/2021,69445,9944,9572,2334,28325,12380,38826,637,673,14152,3703,15965,4727,24750,4257,1674,9811,17843,8958,277976
10/01/2021,69445,9944,9572,2334,28325,12380,38826,637,673,14152,3703,15965,4727,24750,4257,1674,9811,17843,8958,277976
11/01/2021,81387,10998,13607,8474,36205,19209,68405,698,832,24897,5468,45674,9303,30418,4652,3457,13103,18943,10361,406091
12/01/2021,94879,11983,15328,9527,41340,23342,82785,758,1005,35949,6557,57223,11346,33346,4835,3826,15393,22428,16191,488041
13/01/2021,109831,17043,22290,11302,48243,26879,92133,820,1005,49228,7420,70870,14293,37745,4931,4651,17771,25278,19905,581638
14/01/2021,123459,20854,25159,12779,57969,30613,105587,911,1098,63385,8314,80429,17862,44014,7552,5385,20003,29074,21739,676186
15/01/2021,139718,23619,30732,14639,59411,33809,122577,941,1230,77921,9305,86927,22322,49768,9366,5953,22464,31247,27001,768950
16/01/2021,139718,23619,30732,14639,59411,33809,122577,941,1230,77921,9305,86927,22322,49768,9366,5953,22464,31247,27001,768950
17/01/2021,139718,23619,30732,14639,59411,33809,122577,941,1230,77921,9305,86927,22322,49768,9366,5953,22464,31247,27001,768950
18/01/2021,151404,25133,42113,17724,67079,38321,145073,981,1289,104490,11834,93695,27613,56481,13750,7761,25526,33572,34103,897942
19/01/2021,164820,28316,43209,18967,70885,43682,156627,1080,1297,120168,12991,95260,29125,57871,14658,8049,28069,34293,36730,966097
20/01/2021,174279,33734,43599,19473,74350,48755,162830,1110,1326,129194,14559,99932,30941,59104,15697,8335,33523,36054,39142,1025937
21/01/2021,194101,38170,45482,19980,82162,53880,168054,1545,1500,142765,15754,101437,32039,62011,18105,8684,36864,40011,40757,1103301
22/01/2021,209766,41287,47068,20462,86370,57031,173147,1641,1500,154778,16310,103426,32979,65394,20499,8967,41474,41465,42261,1165825
23/01/2021,209766,41287,47068,20462,86370,57031,173147,1641,1500,154778,16310,103426,32979,65394,20499,8967,41474,41465,42261,1165825
24/01/2021,209766,41287,47068,20462,86370,57031,173147,1641,1500,154778,16310,103426,32979,65394,20499,8967,41474,41465,42261,1165825
25/01/2021,226309,42539,50110,20463,94057,61388,184778,1692,1500,165514,17053,104449,33125,66873,22083,9166,46124,43926,46444,1237593
26/01/2021,251172,43531,52768,20743,99536,64349,182713,1829,1631,169501,18703,105490,35441,70384,22372,9387,48927,44087,48652,1291216
27/01/2021,257976,47835,54653,20910,104197,68522,201650,1829,1713,174094,20057,108454,37790,72676,23603,9618,50850,49077,50957,1356461
28/01/2021,265620,49453,56385,21469,108203,71484,208177,1757,1713,177972,21007,109716,39821,74278,23540,10283,51436,49857,53447,1395618
29/01/2021,282995,53937,60180,21641,114743,77765,222572,1828,1934,183458,22430,112272,41961,78772,25041,10820,53839,52919,55082,1474189
30/01/2021,282995,53937,60180,21641,114743,77765,222572,1828,1934,183458,22430,112272,41961,78772,25041,10820,53839,52919,55082,1474189
31/01/2021,282995,53937,60180,21641,114743,77765,222572,1828,1934,183458,22430,112272,41961,78772,25041,10820,53839,52919,55082,1474189
01/02/2021,299792,55292,64475,23626,124225,84605,256555,1890,2113,190943,25116,136109,47342,85718,25559,11790,57262,58112,58737,1609261
02/02/2021,313286,56482,67783,25067,126362,88888,261562,1950,2348,199495,26779,147945,49703,87736,25963,13215,59582,58177,60731,1673054
03/02/2021,329258,61036,70794,26718,132496,92702,273724,2008,2372,211857,28199,162563,52880,90643,26240,14118,62679,61483,63008,1764778
04/02/2021,345648,65979,75334,27989,138856,97353,285829,2104,2383,226074,29954,172754,56839,96650,29366,15374,65194,65301,66361,1865342
05/02/2021,363482,72656,79839,29864,151008,102033,308695,2156,2392,246003,31446,182225,61952,96947,31496,16622,68359,68626,72359,1988160
06/02/2021,363482,72656,79839,29864,151008,102033,308695,2156,2392,246003,31446,182225,61952,96947,31496,16622,68359,68626,72359,1988160
07/02/2021,363482,72656,79839,29864,151008,102033,308695,2156,2392,246003,31446,182225,61952,96947,31496,16622,68359,68626,72359,1988160
08/02/2021,378943,74650,84330,34215,161020,104988,317222,2218,2398,266831,34273,190902,68006,110996,35683,17803,72979,71784,75792,2105033
09/02/2021,390077,75586,85250,35347,161781,106646,328789,2218,2399,282690,35585,196489,69271,114111,36655,18324,75634,72787,77602,2167241
10/02/2021,401714,80211,86467,36320,168030,109636,340729,2277,2399,294615,36677,201983,71334,114462,37685,18970,75634,75118,78988,2233249
11/02/2021,415015,84487,86467,38217,172686,113637,357875,2559,2543,308047,38016,208242,73439,117783,38969,19428,84459,77168,81470,2320507
12/02/2021,431642,88297,99316,39707,178831,117671,376519,2697,2647,319144,39196,214010,75603,124733,40624,19968,89883,78446,84111,2423045
13/02/2021,431642,88297,99316,39707,178831,117671,376519,2697,2647,319144,39196,214010,75603,124733,40624,19968,89883,78446,84111,2423045
14/02/2021,431642,88297,99316,39707,178831,117671,376519,2697,2647,319144,39196,214010,75603,124733,40624,19968,89883,78446,84111,2423045
15/02/2021,457018,91343,104706,42494,186398,125951,402742,3522,2822,338333,40295,219822,78038,134518,43862,21095,97787,80484,90378,2561608
16/02/2021,468983,93512,106747,43214,190381,129772,416165,3759,3070,346408,41235,224560,80044,137656,44573,21676,98289,81941,92527,2624512
17/02/2021,485673,96987,109051,43913,196196,132722,427525,4111,3302,354258,42492,228180,82086,138601,45348,22032,101147,83128,93705,2690457
18/02/2021,506973,101956,111897,44700,202462,137438,443181,4434,3404,364384,43893,233828,85553,142844,46824,22749,104091,85458,96682,2782751
19/02/2021,561803,106629,115542,45835,208907,140140,465569,4695,3725,372775,45364,254502,89067,149893,50921,23349,107391,90123,99781,2936011
20/02/2021,561803,106629,115542,45835,208907,140140,465569,4695,3725,372775,45364,254502,89067,149893,50921,23349,107391,90123,99781,2936011
21/02/2021,561803,106629,115542,45835,208907,140140,465569,4695,3725,372775,45364,254502,89067,149893,50921,23349,107391,90123,99781,2936011
22/02/2021,607552,109318,119426,48023,218252,143344,490411,5209,4094,378839,47557,270007,92842,163143,52721,24189,112681,96325,106418,3090351
23/02/2021,626659,111067,122304,48935,223034,146212,504270,5526,4095,382180,51816,273978,94462,170544,52801,24905,114568,99545,108290,3165191
24/02/2021,653919,115419,127794,51298,229483,150359,531016,5705,4334,385692,53145,286962,98839,179141,54156,25411,117427,104014,110564,3284678
25/02/2021,688093,120420,133624,53706,236901,154252,572114,5956,4557,392366,55427,301372,102762,189969,55834,25917,119747,109192,113949,3436158
26/02/2021,724385,126328,138557,56389,245671,160235,614048,6272,4710,417627,57034,313175,107200,200432,57292,26699,122558,109192,117831,3605635
27/02/2021,724385,126328,138557,56389,245671,160235,614048,6272,4710,417627,57034,313175,107200,200432,57292,26699,122558,109192,117831,3605635
28/02/2021,724385,126328,138557,56389,245671,160235,614048,6272,4710,417627,57034,313175,107200,200432,57292,26699,122558,109192,117831,3605635
01/03/2021,769899,130122,146120,59144,257479,162939,650327,6273,4710,472599,60697,323505,111006,217795,61342,27386,127629,117129,123364,3829465
02/03/2021,774701,131441,148158,59968,263681,164826,657774,6334,4984,509698,62070,323505,112229,223906,61659,28978,131551,118737,124534,3908734
03/03/2021,796930,134040,157037,62843,272552,169166,676590,6435,5127,539372,63690,349392,116392,233345,62033,29849,136036,121707,126784,4059320
04/03/2021,834477,141997,162363,64535,281825,176604,676590,6435,5228,572673,66248,370712,121286,244212,73188,30675,144966,124940,130138,4229092
05/03/2021,878194,150631,167802,66555,293772,195716,734794,7104,5403,598738,68249,394016,125191,255614,74598,33316,155955,128729,137200,4471577
06/03/2021,878194,150631,167802,66555,293772,195716,734794,7104,5403,598738,68249,394016,125191,255614,74598,33316,155955,128729,137200,4471577
07/03/2021,878194,150631,167802,66555,293772,195716,734794,7104,5403,598738,68249,394016,125191,255614,74598,33316,155955,128729,137200,4471577
08/03/2021,878209,153194,175271,68014,306277,201466,774027,7634,5964,643218,73784,394021,129802,270952,84205,34780,175424,133011,147188,4656441
09/03/2021,951168,155770,180030,68512,314360,205143,789183,8177,6306,668040,74287,426373,131804,278771,86720,36734,181629,136277,149364,4848648
10/03/2021,971691,158422,186871,70233,325296,212233,809732,8262,6558,694100,74743,436903,135670,289261,89104,38243,189949,140785,151449,4989505
11/03/2021,1000998,166351,194364,72537,339992,223931,835931,8571,6851,720674,75059,448396,140186,299544,95435,40431,200677,145833,156345,5172106
12/03/2021,1046334,173511,200954,74747,353400,231247,857036,8998,7178,743606,75449,465589,144537,311089,101587,42025,200677,150737,164066,5352767
13/03/2021,1046334,173511,200954,74747,353400,231247,857036,8998,7178,743606,75449,465589,144537,311089,101587,42025,200677,150737,164066,5352767
14/03/2021,1046334,173511,200954,74747,353400,231247,857036,8998,7178,743606,75449,465589,144537,311089,101587,42025,200677,150737,164066,5352767
15/03/2021,1098755,180393,215260,77788,370986,236652,887751,9278,7374,779306,84981,480454,148614,338334,108484,45403,234455,163493,177134,5644895
16/03/2021,1113414,182899,219594,79283,380228,239085,899255,9278,7682,792291,86471,486767,151027,350571,110608,46881,240162,166072,180650,5742218
17/03/2021,1135990,188111,223811,81573,389307,245270,915213,9278,7685,803199,87756,486769,156742,360302,112889,47744,248786,171655,185005,5857085
18/03/2021,1163449,194938,228382,85106,389307,254487,915213,9424,7915,814603,90919,530413,156742,370076,117035,48465,254750,177134,185005,5993363
19/03/2021,1163449,194938,228382,85106,389307,254487,915213,9424,7915,814603,90919,530413,156742,370076,117035,48465,254750,177134,185005,5993363
20/03/2021,1163449,194938,228382,85106,389307,254487,915213,9424,7915,814603,90919,530413,156742,370076,117035,48465,254750,177134,185005,5993363
21/03/2021,1163449,194938,228382,85106,389307,254487,915213,9424,7915,814603,90919,530413,156742,370076,117035,48465,254750,177134,185005,5993363
22/03/2021,1185021,206488,237712,90057,425312,267942,1006049,9432,8773,848206,99308,560267,170024,385402,124537,50050,262965,186327,198036,6321908
23/03/2021,1202553,207118,241508,91015,431153,271647,1011890,9432,8937,861028,100046,569061,171479,392134,124791,50952,277455,187429,199568,6409196
24/03/2021,1258375,211426,248101,94153,441559,278619,1027370,9457,9074,888776,102407,590395,174734,405300,125552,51877,289725,192737,204679,6604316
25/03/2021,1293949,220730,254352,97301,456309,291786,1062479,10121,9477,915887,105316,612340,181812,418902,132167,53810,302858,197725,206638,6823959
26/03/2021,1330236,229883,260467,101069,476751,304832,1095847,10529,9784,943113,107705,636120,188839,431274,135857,55033,316978,202304,214308,7050929
27/03/2021,1330236,229883,260467,101069,476751,304832,1095847,10529,9784,943113,107705,636120,188839,431274,135857,55033,316978,202304,214308,7050929
28/03/2021,1330236,229883,260467,101069,476751,304832,1095847,10529,9784,943113,107705,636120,188839,431274,135857,55033,316978,202304,214308,7050929
29/03/2021,1375025,236543,283444,107067,507694,332205,1192191,11097,10084,995208,113215,734893,204735,447652,150294,59760,352196,212464,223145,7548912
30/03/2021,1400384,241002,292317,109864,507762,340556,1219567,11142,10297,1026074,114802,742020,209542,462010,154339,61733,361382,216223,227530,7708546
31/03/2021,1441414,250339,304229,114080,534134,356085,1274944,11226,10413,1058277,117849,768217,219487,478450,160884,63416,370971,225915,237224,7997554
01/04/2021,1483868,258902,315167,114080,554254,356085,1353057,11226,10413,1092992,121389,821536,231560,498870,160884,65886,370971,234491,246425,8302056
02/04/2021,1483868,258902,315167,114080,554254,356085,1353057,11226,10413,1092992,121389,821536,231560,498870,160884,65886,370971,234491,246425,8302056
03/04/2021,1503567,265619,318372,120335,562643,382287,1353057,11226,10413,1125861,121389,864575,233822,524134,173015,67487,370971,242053,256379,8507205
04/04/2021,1503567,265619,318372,120335,562643,382287,1353057,11226,10413,1125861,121389,864575,233822,524134,173015,67487,370971,242053,256379,8507205
05/04/2021,1517023,265649,323880,120751,572774,391798,1441264,12616,11201,1144369,121389,870686,236428,540723,175308,67487,370972,250132,258999,8693449
06/04/2021,1557660,270285,329689,122107,590123,406226,1456572,13813,11584,1194726,134191,870750,244116,559141,176500,69384,441562,255449,262673,8966551
07/04/2021,1622189,276558,339311,127290,610573,423319,1504694,14358,11582,1239223,137093,926076,254867,584849,181442,71782,445819,264498,264263,9299786
08/04/2021,1699464,290838,355871,128539,629472,444254,1592571,15133,12597,1287142,141125,991439,268347,624745,190732,73374,460502,272976,270112,9749233
09/04/2021,1776739,303372,368086,133391,657130,463487,1664667,15477,13077,1327764,146068,1035843,285234,657774,199763,78944,478177,282854,278267,10166114
10/04/2021,1776739,303372,368086,133391,657130,463487,1664667,15477,13077,1327764,146068,1035843,285234,657774,199763,78944,478177,282854,278267,10166114
11/04/2021,1776739,303372,368086,133391,657130,463487,1664667,15477,13077,1327764,146068,1035843,285234,657774,199763,78944,478177,282854,278267,10166114
12/04/2021,1865200,312544,387610,140961,695126,483319,1733884,15799,13690,1419575,157728,1035842,299027,732686,218353,82070,535817,301677,285613,10716521
13/04/2021,1910185,321035,401663,142877,710619,487967,1787769,16211,14206,1468932,161038,1080973,302566,743544,226218,84470,547803,309539,287216,11004831
14/04/2021,1970183,331419,418843,147960,730342,499581,1843205,16764,14706,1516192,167043,1125277,313754,776617,233042,86929,564370,317019,293702,11366948
15/04/2021,2041844,347963,435235,153430,754667,519478,1922213,17103,15028,1563931,171777,1194050,327974,803159,240488,89433,587349,330038,300425,11815585
16/04/2021,2116629,375697,452142,159103,787728,543061,2002444,17750,15521,1612760,177032,1236279,341230,817578,247693,92486,604493,343170,318242,12261038
17/04/2021,2116629,375697,452142,159103,787728,543061,2002444,17750,15521,1612760,177032,1236279,341230,817578,247693,92486,604493,343170,318242,12261038
18/04/2021,2116629,375697,452142,159103,787728,543061,2002444,17750,15521,1612760,177032,1236279,341230,817578,247693,92486,604493,343170,318242,12261038
19/04/2021,2199243,391560,480524,166629,830796,562432,2070003,17862,16215,1679161,189103,1270968,351936,865840,259921,96354,628743,371649,334549,12783488
20/04/2021,2199243,400096,492264,170634,850339,569590,2083020,17863,16599,1718899,193479,1307612,353535,877664,262935,97907,633375,380133,345665,12970852
21/04/2021,2320492,413947,508147,177077,878223,583440,2142871,17947,17054,1761839,197388,1357860,363546,914267,269110,101658,650297,392222,360169,13427554
22/04/2021,2386916,436089,523232,182628,910748,608848,2217908,18631,17627,1806916,200145,1391648,377168,947613,276829,104710,651736,402983,376989,13839364
23/04/2021,2458368,456346,537808,188440,910748,633257,2295178,19265,18234,1847622,205590,1426532,390404,952172,283212,107983,663553,412591,388287,14195590
24/04/2021,2458368,456346,537808,188440,910748,633257,2295178,19265,18234,1847622,205590,1426532,390404,952172,283212,107983,663553,412591,388287,14195590
25/04/2021,2458368,456346,537808,188440,910748,633257,2295178,19265,18234,1847622,205590,1426532,390404,952172,283212,107983,663553,412591,388287,14195590
26/04/2021,2528038,461499,560683,197026,957593,653126,2346565,19868,18960,1918782,206512,1459296,397417,985789,296858,111029,692328,428663,405087,14645119
