"Fecha","Andalucia","Aragon","Canarias","Cantabria","Castilla y Leon","Castilla-La Mancha","Cataluna","Ceuta","Melilla","Comunidad de Madrid","Comunidad Foral de Navarra","Comunitat Valenciana","Extremadura","Galicia","Illes Balears","La Rioja","Pais Vasco","Principado de Asturias","Region de Murcia","Espana"
"8/19/2020","2.2","13.4","2.2","2","3.9","2.7","4.3","0","3.4","9.5","3.5","3.2","1.6","1.1","5.3","1.7","8.3","0.7","3.2","3.8"
"8/20/2020","2.1","13.6","2","2.2","4","2.9","4.2","0","4","9.8","3.2","3","1.2","1.1","5.6","2.3","9.1","0.7","3.6","3.926315789"
"8/21/2020","2.4","13.7","2.8","2.4","4.7","4","4.6","0.6","4.5","12","3.3","3.7","1.5","1.1","7.5","4.6","10","0.5","5.2","4.689473684"
"8/24/2020","2.6","13.1","3.1","2.6","5.1","4.3","4.6","0.6","4","12.8","3","3.6","1.6","1.3","8.6","4.6","9.7","0.6","5","4.778947368"
"8/25/2020","2.8","13.1","3.2","2.8","5.4","4.5","4.5","0.6","2.3","13.6","3.4","3.7","1.5","1.5","8.7","4.4","10.1","0.7","5.4","4.852631579"
"8/26/2020","3","13","3","3","6","5","4","1","2","13","4","4","2","1","9","5","10","1","5","4.947368421"
"8/27/2020","3","13","2","2","6","5","4","1","2","14","4","4","2","2","9","5","10","1","6","5"
"8/30/2020","4","13","5","3","7","7","5","2","5","16","4","4","2","2","11","7","11","2","8","6.210526316"
"8/31/2020","4","14","4","3","7","7","5","3","3","15","5","4","2","2","11","6","12","1","7","6.052631579"
"9/1/2020","4","12","4","4","7","7","5","3","3","15","3","4","2","2","11","7","11","1","7","5.894736842"
"9/2/2020","4","12","4","3","6","7","5","3","4","16","5","4","2","2","11","7","11","2","7","6.052631579"
"9/3/2020","5","12","5","3","6","8","4","3","3","15","5","4","2","3","11","7","11","1","7","6.052631579"
"9/6/2020","5","12","5","4","8","9","5","6","6","18","6","5","2","3","13","9","12","2","8","7.263157895"
"9/7/2020","5","12","5","4","7","9","5","4","NaN","18","6","5","2","3","13","9","11","2","8","7.111111111"
"9/8/2020","5","12","5","3","7","10","5","6","6","17","6","5","2","3","13","10","11","2","9","7.210526316"
"9/9/2020","6","12","5","4","6","10","5","5","8","18","6","5","2","3","12","9","12","2","9","7.315789474"
"9/10/2020","6","11","5","4","7","10","5","5","8","18","6","5","3","3","12","9","11","2","9","7.315789474"
"9/13/2020","7","12","5","5","9","12","5","4","9","21","7","5","4","3","12","11","12","2","10","8.157894737"
"9/14/2020","7","12","5","5","9","12","5","3","8","21","7","5","4","3","12","11","12","2","9","8"
"9/15/2020","7","12","5","5","9","13","5","3","8","22","7","5","4","3","11","11","12","2","9","8.052631579"
"9/16/2020","7","12","5","5","9","13","5","4","8","21","7","5","4","3","11","11","12","2","9","8.052631579"
"9/17/2020","7","12","5","5","10","13","5","4","8","22","8","5","4","3","11","12","11","2","9","8.210526316"
"9/20/2020","7","12","5","5","11","13","5","3","8","25","9","7","5","3","12","11","11","2","9","8.578947368"
"9/21/2020","7","13","5","5","11","14","6","3","8","25","10","5","6","3","11","11","11","2","8","8.631578947"
"9/22/2020","6.79","12.76","5.12","4.64","10.99","13.86","5.27","5.63","9.04","24.93","9.81","4.82","5.8","3.06","10.03","11.6","10.57","1.98","8.32","8.685263158"
"9/23/2020","6.97","11.73","4.98","4.07","11.26","13.8","5.21","7.5","9.04","26.14","10.02","4.75","6.34","3.06","15.98","11.03","10.44","1.95","8.17","9.075789474"
"9/24/2020","7.62","11.4","5.21","4.29","11.77","14.29","3.07","7.1","9.04","25.43","10.03","4.79","6.63","3.12","9.84","11.03","10.29","2.14","8.01","8.689473684"
"9/27/2020","7.62","11.94","5.21","4.23","13.3","14.48","5.51","8.57","9.04","25.96","10.52","4.74","7.36","3.05","10.09","9.74","10.6","2.25","9","9.116315789"
"9/28/2020","7.59","11.54","5.21","4.11","13.27","13.54","5.67","9.14","8.47","24.92","9.89","4.45","6.95","3.06","9.39","8.72","10.08","2.38","8.3","8.772631579"
"9/29/2020","7.42","10.4","5.42","4.04","13.11","13.58","6.23","9.2","6.21","24.22","9.12","4.17","6.48","2.91","8.56","9.74","10","2.29","8.15","8.486842105"
"9/30/2020","7.12","10.58","5.03","3.85","13.11","13.42","5.42","9.04","6.78","23.66","9.61","4","6.57","3.1","8.24","9.74","10.02","2.08","8.23","8.4"
"10/1/2020","7.05","10.31","5.06","3.91","12.69","12.8","5.55","10.11","6.21","22.9","8.99","3.96","5.92","2.94","7.96","3.08","9.82","2.37","8.12","7.881578947"
"10/4/2020","7.47","11.03","5.7","3.2","13.91","14","5.87","10.86","9.6","23.23","10.76","4.94","6.04","3.12","6.89","9.29","10.06","3.35","8.81","8.848947368"
"10/5/2020","7.45","10.08","5.8","3.4","13.25","13.42","5.84","10.11","10.17","22.32","9.81","4.25","5.39","3.1","7.09","9.3","10.12","3.32","9.71","8.627894737"
