Fecha;Andalucia;Aragon;Canarias;Cantabria;Castilla y Leon;Castilla-La Mancha;Cataluna;Ceuta;Melilla;Comunidad de Madrid;Comunidad Foral de Navarra;Comunitat Valenciana;Extremadura;Galicia;Illes Balears;La Rioja;Pais Vasco;Principado de Asturias;Region de Murcia;Espana
04/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/01/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/01/2021;0;0;0.02;0;0.01;0;0;0.03;0;0.01;0;0;0;0.01;0.01;0;0;0.02;0;0.01
19/01/2021;0.02;0.02;0.02;0;0.02;0.01;0.01;0.03;0.03;0.01;0.05;0.01;0.02;0.04;0.01;0.01;0.02;0.13;0.06;0.03
20/01/2021;0.05;0.05;0.02;0;0.03;0.01;0.01;0.03;0.03;0.01;0.08;0.03;0.02;0.04;0.01;0.01;0.02;0.17;0.1;0.04
21/01/2021;0.18;0.13;0.08;0.04;0.22;0.06;0.03;0.39;0.23;0.03;0.12;0.06;0.06;0.14;0.13;0.08;0.06;0.56;0.12;0.14
22/01/2021;0.25;0.16;0.13;0.04;0.25;0.08;0.05;0.44;0.23;0.03;0.12;0.08;0.06;0.27;0.23;0.1;0.14;0.67;0.14;0.18
23/01/2021;0.25;0.16;0.13;0.04;0.25;0.08;0.05;0.44;0.23;0.03;0.12;0.08;0.06;0.27;0.23;0.1;0.14;0.67;0.14;0.18
24/01/2021;0.25;0.16;0.13;0.04;0.25;0.08;0.05;0.44;0.23;0.03;0.12;0.08;0.06;0.27;0.23;0.1;0.14;0.67;0.14;0.18
25/01/2021;0.3;0.17;0.18;0.04;0.4;0.1;0.1;0.44;0.23;0.04;0.12;0.09;0.06;0.32;0.23;0.1;0.15;0.89;0.29;0.22
26/01/2021;0.45;0.22;0.24;0.05;0.55;0.18;0.12;0.6;0.38;0.06;0.27;0.11;0.16;0.45;0.25;0.14;0.23;1.05;0.39;0.31
27/01/2021;0.6;0.44;0.3;0.05;0.78;0.34;0.24;0.6;0.48;0.08;0.38;0.14;0.29;0.53;0.27;0.21;0.3;1.35;0.49;0.41
28/01/2021;0.65;0.51;0.32;0.13;0.82;0.37;0.3;0.68;0.48;0.1;0.42;0.18;0.29;0.59;0.28;0.34;0.31;1.38;0.58;0.46
29/01/2021;0.8;0.73;0.4;0.16;1.04;0.61;0.46;0.75;0.72;0.16;0.53;0.22;0.42;0.75;0.37;0.5;0.41;1.6;0.61;0.59
30/01/2021;0.8;0.73;0.4;0.16;1.04;0.61;0.46;0.75;0.72;0.16;0.53;0.22;0.42;0.75;0.37;0.5;0.41;1.6;0.61;0.59
31/01/2021;0.8;0.73;0.4;0.16;1.04;0.61;0.46;0.75;0.72;0.16;0.53;0.22;0.42;0.75;0.37;0.5;0.41;1.6;0.61;0.59
01/02/2021;0.93;0.78;0.53;0.47;1.44;0.85;0.78;0.82;0.93;0.23;0.8;0.66;0.81;1;0.41;0.78;0.55;1.91;0.75;0.81
02/02/2021;1.07;0.84;0.67;0.73;1.46;1.04;0.89;0.89;1.19;0.36;0.96;0.89;1.01;1.08;0.43;1.09;0.63;1.91;0.83;0.95
03/02/2021;1.23;1.14;0.79;1.01;1.69;1.2;1.03;0.96;1.22;0.53;1.08;1.16;1.24;1.17;0.45;1.34;0.75;2.18;0.93;1.11
04/02/2021;1.39;1.47;0.93;1.22;1.91;1.35;1.18;1.06;1.23;0.73;1.21;1.34;1.6;1.39;0.68;1.7;0.85;2.52;1.09;1.31
